OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
Del(5D5Mit73-D5Mit351)5Jcs/+,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,"abnormal cerebellar lobule formation, abnormal cerebral cortex morphology, abnormal corpora quadrigemina morphology, abnormal craniofacial morphology, abnormal gait, abnormal palatal rugae morphology, asymmetric snout, behavior/neurological phenotype, coloboma, corneal opacity, craniofacial asymmetry, decreased body weight, domed cranium, facial asymmetry, kinked tail, malocclusion, maximal tonic hindlimb extension seizures, neonatal lethality, incomplete penetrance, ocular hypertelorism, seizures, small ears",11152656,129S4/SvJae|C57BL/6J
Del(5D5Mit73-D5Mit351)5Jcs/+,mixed,ht,FALSE,"decreased body size, fused carpal bones",11606546,mixed
Del(5Gtf2i-Fkbp6)1Vcam/+,B6.129-Del(5Gtf2i-Fkbp6)1Vcam(J:204278),ht,FALSE,"abnormal amygdala morphology, abnormal amygdala morphology, abnormal aorta wall morphology, abnormal dendrite morphology, abnormal dendritic spine morphology, abnormal dentate gyrus subgranular zone morphology, abnormal habituation, abnormal hippocampus morphology, abnormal hippocampus pyramidal cell layer, abnormal learning/memory/conditioning, abnormal motor capabilities/coordination/movement, abnormal physical strength, abnormal social investigation, abnormal tumor susceptibility, cardiac hypertrophy, decreased anxiety-related response, decreased body weight, decreased body weight, decreased brain weight, decreased fear-related response, hepatic steatosis, impaired coordination, impaired swimming, increased aorta wall thickness, increased mean systemic arterial blood pressure, increased startle reflex, mortality/aging, small mandible, thin hippocampus stratum oriens",25027326,B6|129
Del(5Gtf2i-Limk1)1Uta/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal social investigation, abnormal social investigation, abnormal social investigation, cardiovascular system phenotype, craniofacial phenotype, decreased aggression towards mice, decreased body weight, decreased body weight, decreased body weight, decreased brain size, decreased exploration in new environment, decreased prepulse inhibition, decreased thermal nociceptive threshold, impaired coordination, increased cranium length, increased cranium length, increased neuron number, increased startle reflex, postnatal growth retardation, small lateral ventricles",20049703,129S7/SvEvBrd|C57BL/6J
Del(5Kit-Cep135)1Utr/+,C57BL/6JCrlj-Del(5Kit-Cep135)1Utr,ht,FALSE,decreased skin pigmentation,26346620,C57BL/6JCrlj
Del(5Kit-Nmu)2Utr/+,C57BL/6JCrlj-Del(5Kit-Nmu)2Utr,ht,FALSE,decreased skin pigmentation,26346620,C57BL/6JCrlj
Del(5Letm1-D5Mit81)3Jcs/+,involves: 129S4/SvJae * C3H * C57BL/6J,ht,FALSE,decreased body weight,11152656,129S4/SvJae|C3H|C57BL/6J
Del(5Letm1-D5Mit81)3Jcs/+,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,"abnormal craniofacial morphology, abnormal seizure response to electrical stimulation, decreased body weight, kinked tail, neonatal lethality, incomplete penetrance, ocular hypertelorism, small ears",11152656,129S4/SvJae|C57BL/6J
Del(5Letm1-Htt)1Jcs/+,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,"abnormal cerebellar foliation, abnormal cerebral cortex morphology, abnormal corpora quadrigemina morphology, convulsive seizures, vision/eye phenotype",11152656,129S4/SvJae|C57BL/6J
Del(5Limk1-Trim50)2Uta/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal blood vessel physiology, abnormal cranium size, abnormal social investigation, abnormal startle reflex, abnormal vagina morphology, craniofacial phenotype, decreased body weight, decreased body weight, decreased body weight, decreased brain size, decreased brain weight, decreased cranium width, decreased exploration in new environment, herniated abdominal wall, herniated abdominal wall, herniated abdominal wall, impaired contextual conditioning behavior, impaired cued conditioning behavior, nervous system phenotype, postnatal growth retardation, premature death, rectal prolapse, short face",20049703,129S7/SvEvBrd|C57BL/6J
Del(6Dlx6-Dlx5)1Tlu/+,Not Specified,ht,FALSE,mortality/aging,17420000,NotSpecified
Del(6Ephb6-Trpv6)1Mfre/+,involves: 129S1/Sv * 129X1/SvJ * BALB/cJ,ht,FALSE,no phenotypic analysis,21540454,129S1/Sv|129X1/SvJ|BALB/cJ
Del(6Ephb6-Trpv6)1Mhed/+,involves: 129S/SvEv,ht,FALSE,"alopecia, alopecia, alopecia, alopecia, dermatitis",17129178,129S/SvEv
Del(6Slco1b2-Slco1a5)1Nki/+,involves: 129P2/OlaHsd * C57BL/6,ht,FALSE,"abnormal bile secretion, abnormal bile secretion, abnormal blood homeostasis, abnormal urine homeostasis, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, abnormal xenobiotic pharmacokinetics, bilirubinuria, decreased urine protein level, increased bile salt level, increased body weight, increased circulating HDL cholesterol level, increased circulating bilirubin level, increased circulating bilirubin level, increased circulating triglyceride level, jaundice",20644253,129P2/OlaHsd|C57BL/6
Del(7Chrna7-Fan1)1Mima/+,C57BL/6N-Del(7Chrna7-Fan1)1Mima,ht,FALSE,"abnormal brain wave pattern, abnormal brain wave pattern, abnormal locomotor activation, behavior/neurological phenotype, behavior/neurological phenotype, decreased anxiety-related response, decreased anxiety-related response, decreased vocalization, enlarged lateral ventricles, growth/size/body region phenotype, increased brain size, increased brain weight, increased grooming behavior, nervous system phenotype, nervous system phenotype, social withdrawal, social withdrawal",26658876,C57BL/6N
Del(7Chrna7-Fan1)3Arte/+,involves: C57BL/6J * C57BL/6NTac,ht,FALSE,"abnormal auditory brainstem response, abnormal auditory brainstem response, abnormal auditory brainstem response, abnormal auditory brainstem response, abnormal seizure response to electrical stimulation, abnormal seizure response to pharmacological agent, abnormal seizure response to pharmacological agent, behavior/neurological phenotype, decreased locomotor activity, decreased locomotor activity, decreased startle reflex, decreased susceptibility to pharmacologically induced seizures, impaired spatial learning, increased aggression towards mice, increased aggression towards mice, increased body weight, nervous system phenotype, postnatal lethality, incomplete penetrance",24090792,C57BL/6J|C57BL/6NTac
Del(7Coro1a-Spn)1Dolm/+,B6N.129P2(Cg)-Del(7Coro1a-Spn)1Dolm,ht,FALSE,"abnormal gait, abnormal habituation to a novel object, abnormal response to novel object, absent startle reflex, circling, decreased grooming behavior, decreased locomotor activity, impaired coordination, impaired hearing, increased locomotor activity, increased locomotor activity, tremors",24794428,B6N|129P2Cg
Del(7Coro1a-Spn)1Dolm/+,involves: 129P2/OlaHsd * 129S1/Sv * C57BL/6N * CD-1,ht,FALSE,"abnormal abdominal fat pad morphology, abnormal basal ganglion morphology, abnormal basal ganglion morphology, abnormal corpus callosum morphology, abnormal excitatory postsynaptic currents, abnormal globus pallidus morphology, abnormal medium spiny neuron morphology, abnormal miniature excitatory postsynaptic currents, abnormal nucleus accumbens morphology, decreased body length, decreased body weight, decreased body weight, decreased brain weight, decreased paired-pulse facilitation, hyperactivity, hypothalamus hyperplasia, increased inferior colliculus size, increased superior colliculus size, premature death, thalamus hyperplasia, thickened cerebral cortex, thin cerebral cortex, tremors",24794428,129P2/OlaHsd|129S1/Sv|C57BL/6N|CD
Del(7Gabrb3-Ube3a)1Yhj/+,B6.129S7-Del(7Gabrb3-Ube3a)1Yhj,ht,FALSE,"abnormal brain wave pattern, abnormal spatial learning, abnormal vocalization, decreased exploration in new environment, decreased exploration in new environment, impaired contextual conditioning behavior, impaired contextual conditioning behavior, impaired coordination, impaired coordination, paternal imprinting, tonic-clonic seizures, tonic-clonic seizures",20808828,B6|129S7
Del(7Gm7290-Th)1Lef/+,involves: 129S1/Sv * 129X1/SvJ * C57BL/6 * DBA/2,ht,FALSE,"abnormal prenatal growth/weight/body size, decreased birth weight, decreased birth weight, decreased birth weight, decreased body weight",19684026,129S1/Sv|129X1/SvJ|C57BL/6|DBA/2
Del(7Herc2-Mkrn3)13FRdni/+,involves: C57BL/6 * CD-1 * SJL,ht,FALSE,"abnormal respiration, decreased locomotor activity, dehydration, maternal imprinting, postnatal lethality, postnatal lethality",10430930,C57BL/6|CD
Del(7Ifitm5-Ifitm6)1Masu/+,involves: 129P2/OlaHsd * C57BL/6,ht,FALSE,"decreased survivor rate, homeostasis/metabolism phenotype, immune system phenotype, perinatal lethality, incomplete penetrance, reproductive system phenotype",18505827,129P2/OlaHsd|C57BL/6
Del(7Ins2-Tel)1Lef/+,involves: 129S1/Sv * 129X1/SvJ * ICR,ht,FALSE,"abnormal trophoblast layer morphology, absent spongiotrophoblast, embryonic lethality during organogenesis, complete penetrance, embryonic lethality during organogenesis, complete penetrance, pale yolk sac, paternal imprinting, pericardial effusion",18039841,129S1/Sv|129X1/SvJ|ICR
Del(7Ipw-Snord116)1Jbro/+,B6.129S7-Del(7Ipw-Snord116)1Jbro,ht,FALSE,"decreased body weight, postnatal growth retardation",18166085,B6|129S7
Del(7Ipw-Snord116)1Jbro/+,involves: 129S7/SvEvBrd * BALB/c * C57BL/6,ht,FALSE,"decreased body weight, postnatal growth retardation, reproductive system phenotype",18166085,129S7/SvEvBrd|BALB/c|C57BL/6
Del(7Ipw-Snord116)1Jbro/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,"abnormal behavior, abnormal behavior, abnormal behavior, abnormal eating behavior, decreased body weight, increased food intake, maternal imprinting, postnatal growth retardation, postnatal lethality","27672097, 18166085",129S7/SvEvBrd|C57BL/6
Del(7Ipw-Snord116)1Jbro/+,involves: 129S7/SvEvBrd * C57BL/6 * FVB/N,ht,FALSE,"decreased body weight, mortality/aging, postnatal growth retardation",18166085,129S7/SvEvBrd|C57BL/6|FVB/N
Del(7Or2h1-Rr320)1Mkg/+,involves: 129,ht,FALSE,no abnormal phenotype detected,16645164,129
Del(7Slx1b-Sept1)4Aam/+,involves: 129S7/SvEvBrd,ht,FALSE,"postnatal lethality, incomplete penetrance",21969575,129S7/SvEvBrd
Del(7Slx1b-Sept1)4Aam/+,involves: 129S7/SvEvBrd * C57BL/6N,ht,FALSE,"abnormal hypothalamus morphology, decreased body size, hyperactivity, hyperactivity, hyperactivity, hyperactivity, hypothalamus hyperplasia, increased locomotor activity, postnatal lethality, incomplete penetrance, stereotypic behavior",21969575,129S7/SvEvBrd|C57BL/6N
Del(7Ube3a-Snrpn)1Alb/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal suckling behavior, bradykinesia, decreased body size, decreased body size, decreased body weight, hypotonia, impaired righting response, neonatal lethality, incomplete penetrance, no abnormal phenotype detected, postnatal lethality, postnatal lethality","10400982, 16754645",129S7/SvEvBrd|C57BL/6J
Del(8A4-B3)7H/+,involves: 101/H * C3H/HeH,ht,FALSE,"abnormal lymphatic vessel morphology, abnormal lymphatic vessel morphology, abnormal lymphatic vessel morphology, abnormal lymphatic vessel morphology, abnormal peritoneum morphology, abnormal peritoneum morphology, chylous ascites, decreased body size, extremity edema, extremity edema, large penis, lymphedema, perinatal lethality, incomplete penetrance","17584866, 8490655",101/H|C3H/HeH
Del(8Ddx19a-Ddx19b)1Chaw/+,C57BL/6-Del(8Ddx19a-Ddx19b)1Chaw,ht,FALSE,"decreased susceptibility to Picornaviridae infection, decreased susceptibility to Picornaviridae infection induced morbidity/mortality, decreased susceptibility to Picornaviridae infection induced morbidity/mortality, growth/size/body region phenotype, increased interferon-alpha secretion, increased interferon-beta secretion, mortality/aging, reproductive system phenotype",30699353,C57BL/6
Del(8Ddx19a-Ddx19b)2Chaw/+,C57BL/6-Del(8Ddx19a-Ddx19b)2Chaw,ht,FALSE,"growth/size/body region phenotype, increased interferon-alpha secretion, increased interferon-beta secretion, mortality/aging, reproductive system phenotype",30699353,C57BL/6
Del(8Defb1-Defb13)1Jrdo/+,involves: 129P2/OlaHsd * C57BL/6N,ht,FALSE,reproductive system phenotype,24204287,129P2/OlaHsd|C57BL/6N
Del(8Pcid2-Cul4a)1Ktc/+,involves: 129S/SvEv * C57BL/6,ht,FALSE,"prenatal lethality, incomplete penetrance",12077329,129S/SvEv|C57BL/6
Del(9Rr207838-Rr207840)6Vmc/+,FVB/NRj-Del(9Rr207838-Rr207840)6Vmc,ht,FALSE,"abnormal atrioventricular bundle conduction, abnormal atrioventricular bundle conduction, cardiovascular system phenotype, prolonged PR interval, prolonged QRS complex duration",31666509,FVB/NRj
Del(XArmcx5-Nxf3)3Jw/+,involves: 129S4/SvJae * C57BL/6 * FVB/N,ht,FALSE,"cleft palate, environmentally induced seizures, postnatal growth retardation, postnatal lethality, incomplete penetrance",24569167,129S4/SvJae|C57BL/6|FVB/N
Del(XJpx-Ftx)1Ehea/+,involves: C57BL/6 * DBA/2,ht,FALSE,reduced female fertility,32238933,C57BL/6|DBA/2
Del(XNxf2-Nxf3)1Jw/+,involves: 129S4/SvJae * C57BL/6 * FVB,ht,FALSE,"audiogenic seizures, complete cleft palate, decreased body size, decreased survivor rate, environmentally induced seizures, postnatal growth retardation, postnatal growth retardation, postnatal lethality, incomplete penetrance, sporadic seizures, sporadic seizures",24569167,129S4/SvJae|C57BL/6|FVB
Dhx35<tm1b(EUCOMM)Wtsi>/Dhx35<tm1b(EUCOMM)Wtsi>,C57BL/6N-Dhx35<tm1b(EUCOMM)Wtsi>/Wtsi,hm,TRUE,"abnormal adenohypophysis morphology, abnormal basilar artery morphology, abnormal brain internal capsule morphology, abnormal hypoglossal nerve topology, abnormal optic cup morphology, abnormal placenta morphology, abnormal trophoblast layer morphology, abnormal trophoblast layer morphology, abnormal vertebrae morphology, abnormal vertebral artery origin, absent connection between subcutaneous lymph vessels and lymph sac, absent mammary gland, absent olfactory bulb, basisphenoid bone foramen, common truncal valve, double lumen aortic arch, double outlet right ventricle, holoprosencephaly, lethality throughout fetal growth and development, complete penetrance, muscular ventricular septal defect, perimembraneous ventricular septal defect, persistent truncus arteriosis, preweaning lethality, complete penetrance, retro-esophageal left subclavian artery, right aortic arch, scoliosis, short snout, symmetric azygos veins, thoracoschisis","NA, 29539633",C57BL/6N
Disp1<icb>/Disp1<icb>,involves: 129/Sv * C57BL/6J * SWR,hm,FALSE,"abnormal brain development, abnormal facial morphology, abnormal heart development, abnormal limb morphology, abnormal somite development, abnormal vascular development, embryonic lethality, complete penetrance",15576405,129/Sv|C57BL/6J|SWR
Disp1<icb>/Disp1<icb>,involves: C3HeB/FeJ * C57BL/6J,hm,FALSE,"abnormal direction of embryo turning, abnormal forelimb morphology, abnormal head shape, abnormal left-right axis patterning, abnormal neural tube morphology, abnormal spinal cord morphology, embryonic lethality during organogenesis, complete penetrance, embryonic lethality during organogenesis, complete penetrance, failure of heart looping, nervous system phenotype, pericardial edema","12372258, 15755804",C3HeB/FeJ|C57BL/6J
Disp1<icb>/Disp1<tm1Amc>,involves: 129X1/SvJ * C57BL/6J,ht,TRUE,"abnormal basisphenoid bone morphology, abnormal basisphenoid bone morphology, abnormal craniofacial bone morphology, abnormal craniofacial bone morphology, abnormal frontal bone morphology, abnormal frontal bone morphology, abnormal head morphology, abnormal head morphology, abnormal nasopharynx morphology, abnormal nasopharynx morphology, abnormal neurocranium morphology, abnormal neurocranium morphology, abnormal occipital bone morphology, abnormal occipital bone morphology, abnormal viscerocranium morphology, abnormal viscerocranium morphology, absent basisphenoid bone, absent basisphenoid bone, absent occipital bone, absent occipital bone, absent parietal bone, absent parietal bone, absent pituitary gland, absent pituitary gland, absent primary palate, absent primary palate, absent upper incisors, absent upper incisors, absent vomeronasal organ, absent vomeronasal organ, delayed chondrocyte differentiation, delayed chondrocyte differentiation, holoprosencephaly, holoprosencephaly",15269168,129X1/SvJ|C57BL/6J
Disp1<tm1Amc>/Disp1<tm1Amc>,involves: 129X1/SvJ,hm,TRUE,"abnormal craniofacial bone morphology, abnormal facial morphology, abnormal nasopharynx morphology, abnormal neuron specification, abnormal vomeronasal organ morphology, absent primary palate, absent upper incisors, holoprosencephaly, neonatal lethality, complete penetrance, ocular hypotelorism, philtrum hypoplasia, pituitary gland hypoplasia, respiratory distress",15269168,129X1/SvJ
Disp1<tm1Ptch>/Disp1<tm1Ptch>,involves: 129P2/OlaHsd,hm,TRUE,"abnormal dermomyotome development, abnormal forebrain morphology, abnormal heart development, abnormal left-right axis symmetry of the somites, abnormal neural tube morphology, abnormal sclerotome morphology, absent floor plate, cyclopia, distended pericardium, embryonic lethality during organogenesis, complete penetrance, failure of heart looping, holoprosencephaly, incomplete embryo turning",12421714,129P2/OlaHsd
Dp(16Ifnar1-Kcnj6)10Yey/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal cardiac outflow tract development, atrial septal defect, common atrioventricular valve, double outlet right ventricle, heart left ventricle outflow tract stenosis, inlet ventricular septal defect, interrupted aortic arch, overriding aortic valve, perimembraneous ventricular septal defect, pulmonary artery stenosis",24362460,129S7/SvEvBrd|C57BL/6J
Dp(16Tiam1-Il10rb)8Yey/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,cardiovascular system phenotype,24362460,129S7/SvEvBrd|C57BL/6J
Dp(16Tiam1-Kcnj6)6Yey/+,involves: 129S7/SvEvBrd,ht,FALSE,abnormal heart morphology,21442329,129S7/SvEvBrd
Dp(19Lbx1-Fbxw4)3Fsp/+,involves: 129P2/OlaHsd * 129S1/Sv,ht,FALSE,no phenotypic analysis,23453598,129P2/OlaHsd|129S1/Sv
Dp(19Lbx1-Fgf8)2Fsp/+,involves: 129P2/OlaHsd * 129S1/Sv,ht,FALSE,no phenotypic analysis,23453598,129P2/OlaHsd|129S1/Sv
Dp(5Gtf2i-Gtf2ird1)1Lro/+,involves: 129P2/OlaHsd * C57BL/6 * DBA/2,ht,FALSE,"abnormal vocalization, abnormal vocalization",22578324,129P2/OlaHsd|C57BL/6|DBA/2
Dync2h1<b2b414Clo>/Dync2h1<b2b414Clo>,C57BL/6J-Dync2h1<b2b414Clo>,hm,TRUE,"abnormal autopod morphology, abnormal coronary vessel morphology, abnormal craniofacial morphology, abnormal eye morphology, abnormal inferior vena cava morphology, abnormal lung lobe morphology, abnormal mouth morphology, abnormal respiratory system morphology, absent kidney, aorta pulmonary collateral arteries, balanced complete atrioventricular canal, common atrium, complete atrioventricular septal defect, coronary fistula, duplex kidney, holoprosencephaly, micrognathia, ocular hypotelorism, polydactyly, syndactyly, tracheoesophageal fistula, unbalanced complete atrioventricular canal, left dominant",NA,C57BL/6J
Eef1a1<tm1Rck>/Eef1a1<+>,involves: C57BL/6,ht,FALSE,no phenotypic analysis,24093682,C57BL/6
Eef1a1<tm1Tcrl>/Eef1a1<tm1Tcrl>,involves: 129S6/SvEvTac * C57BL/6,hm,FALSE,"lethality, complete penetrance",25809849,129S6/SvEvTac|C57BL/6
Fat1<tm1Cfc>/Fat1<tm1Cfc>,either: 129/Sv or (involves: 129/Sv * C57BL/6),hm,TRUE,"abnormal podocyte slit junction morphology, abnormal podocyte slit junction morphology, abnormal retina neuronal layer morphology, anophthalmia, aphakia, cyclopia, fused podocyte foot processes, holoprosencephaly, integument phenotype, integument phenotype, microphthalmia, microphthalmia, postnatal lethality, complete penetrance, proboscis, retina pigment epithelium atrophy",12724416,129/Sv
Foxg1<tm1(cre)Skm>/Foxg1<+>,129(Cg)-Foxg1<tm1(cre)Skm>/J,ht,FALSE,"no abnormal phenotype detected, no abnormal phenotype detected",10837119,129Cg
Foxg1<tm1(cre)Skm>/Foxg1<+>,B6.129P2-Foxg1<tm1(cre)Skm>,ht,FALSE,"abnormal cerebral cortex morphology, abnormal cerebral cortex morphology, abnormal cerebral cortex morphology, abnormal cerebral cortex morphology, abnormal cerebral cortex morphology, abnormal cerebral cortex morphology, abnormal cerebral hemisphere morphology, abnormal cerebral hemisphere morphology, abnormal cerebral hemisphere morphology, abnormal cerebral hemisphere morphology, abnormal cerebral hemisphere morphology, abnormal cerebral hemisphere morphology, abnormal telencephalon morphology, abnormal telencephalon morphology, decreased cerebral cortex pyramidal cell number, decreased cerebral cortex pyramidal cell number, decreased forebrain volume, decreased forebrain volume, decreased hippocampus volume, decreased hippocampus volume, decreased striatum size, decreased striatum size, small thalamus, small thalamus, small thalamus, small thalamus, thin cerebral cortex, thin cerebral cortex",17640820,B6|129P2
Foxg1<tm1(cre)Skm>/Foxg1<+>,involves: 129P2/OlaHsd * C57BL/6J,ht,FALSE,"abnormal cerebral cortex pyramidal cell morphology, abnormal cerebral cortex pyramidal cell morphology, abnormal visual cortex morphology, abnormal visual cortex morphology, abnormal visual cortex morphology, abnormal visual cortex morphology, abnormal visual evoked potential, abnormal visual evoked potential, abnormal visual evoked potential, abnormal visual evoked potential, decreased visual acuity, decreased visual acuity",27001178,129P2/OlaHsd|C57BL/6J
Foxg1<tm1(cre)Skm>/Foxg1<+>,involves: C57BL/6 * CBA,ht,FALSE,"abnormal brain morphology, abnormal brain morphology",17640820,C57BL/6|CBA
Foxg1<tm1(cre)Skm>/Foxg1<tm1(cre)Skm>,129(Cg)-Foxg1<tm1(cre)Skm>/J,hm,FALSE,"perinatal lethality, complete penetrance",10837119,129Cg
Foxg1<tm1M>/Foxg1<+>,involves: C57BL/6 * CBA,ht,FALSE,abnormal brain morphology,17640820,C57BL/6|CBA
Foxh1<tm1Jlw>/Foxh1<tm1Jlw>,involves: 129S1/Sv * 129X1/SvJ * CD-1,hm,TRUE,"abnormal anterior head development, abnormal anterior primitive streak morphology, abnormal cardiac outflow tract development, abnormal cardiac outflow tract development, abnormal heart development, abnormal heart left ventricle morphology, abnormal heart looping, abnormal heart ventricle morphology, abnormal mesendoderm development, abnormal neural plate morphology, abnormal neural plate morphology, abnormal pericardial cavity morphology, abnormal pharyngeal arch artery morphology, absent heart right ventricle, absent neural folds, absent notochord, absent prechordal mesoderm, absent primitive node, decreased embryo size, disorganized myocardium, embryonic growth retardation, embryonic lethality during organogenesis, complete penetrance, embryonic-extraembryonic boundary constriction, failure of heart looping, fused somites, holoprosencephaly, pericardial edema, trabecula carnea hypoplasia","11358869, 15363409",129S1/Sv|129X1/SvJ|CD
Foxp4<Gt(RRF116)Byg>/Foxp4<Gt(RRF116)Byg>,involves: 129P2/OlaHsd,hm,TRUE,"abnormal floor plate morphology, abnormal neural tube morphology, abnormal neural tube morphology, abnormal notochord morphology, embryonic lethality during organogenesis, incomplete penetrance, exencephaly, holoprosencephaly, spina bifida",22542185,129P2/OlaHsd
Foxp4<Gt(RRF116)Byg>/Foxp4<tm1Eem>,involves: 129P2/OlaHsd * 129S1/Sv * 129X1/SvJ,ht,FALSE,abnormal neural tube morphology,22542185,129P2/OlaHsd|129S1/Sv|129X1/SvJ
Foxq1<sa>/Foxq1<sa>,involves: 101/Rl * C3H/Rl,hm,FALSE,"abnormal coat appearance, abnormal hair growth, abnormal hair growth, abnormal hair shaft morphology, abnormal hair shaft morphology, impaired natural killer cell mediated cytotoxicity, impaired natural killer cell mediated cytotoxicity, shiny fur","NA, 6334024",101/Rl|C3H/Rl
Gas1<tm1Fan>/Gas1<tm1Fan>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,hm,TRUE,"abnormal anterior eye segment morphology, abnormal basicranium morphology, abnormal basisphenoid bone morphology, abnormal ciliary body morphology, abnormal cornea morphology, abnormal craniofacial bone morphology, abnormal craniofacial bone morphology, abnormal external auditory canal morphology, abnormal eye development, abnormal eye development, abnormal eye development, abnormal eye morphology, abnormal incisor morphology, abnormal iris morphology, abnormal malleus manubrium morphology, abnormal malleus morphology, abnormal malleus neck morphology, abnormal malleus processus brevis morphology, abnormal nasal capsule morphology, abnormal nasal capsule morphology, abnormal neurocranium morphology, abnormal otic capsule morphology, abnormal palatal mesenchymal cell proliferation, abnormal posterior eye segment morphology, abnormal premaxilla morphology, abnormal retina ganglion layer morphology, abnormal retina neuronal layer morphology, abnormal retina neuronal layer morphology, abnormal retina pigment epithelium morphology, abnormal retina pigment epithelium morphology, abnormal secondary palate development, abnormal secondary palate development, abnormal stapes morphology, abnormal styloid process morphology, abnormal synchondrosis, abnormal synchondrosis, abnormal synchondrosis, abnormal tegmen tympani morphology, abnormal temporal bone squamous part morphology, abnormal tympanic ring morphology, abnormal vitreous body morphology, absent gonial bone, absent hypoglossal canal, absent vomeronasal organ, cleft secondary palate, coloboma, decreased cornea size, gonial bone hypoplasia, holoprosencephaly, holoprosencephaly, increased cornea thickness, microphthalmia, midface hypoplasia, narrow eye opening, palatal shelves fail to meet at midline, postnatal lethality, incomplete penetrance, premaxilla hypoplasia, small alisphenoid bone, small lens, small lens, styloid process hypoplasia, synostosis","11456441, 17525797",129S1/Sv|129X1/SvJ|C57BL/6
Gas1<tm1Fan>/Gas1<tm1Fan>,involves: 129S1/Sv * 129X1/SvJ * CD-1,hm,FALSE,"abnormal Purkinje cell dendrite morphology, abnormal Purkinje cell morphology, abnormal Purkinje cell morphology, abnormal cerebellar Purkinje cell layer, abnormal cerebellar Purkinje cell layer, abnormal cerebellar foliation, abnormal cerebellar foliation, abnormal cerebellar molecular layer, abnormal cerebellar molecular layer, abnormal cerebellum development, abnormal cerebellum external granule cell layer morphology, abnormal cerebellum external granule cell layer morphology, abnormal digit development, abnormal gait, abnormal gait, abnormal limb bone morphology, abnormal limb bud morphology, abnormal limb mesenchyme morphology, abnormal phalanx morphology, brachydactyly, brachyphalangia, decreased autopod size, decreased autopod size, decreased eye pigmentation, impaired balance, mortality/aging, mortality/aging, short metacarpal bones, short metacarpal bones, short metatarsal bones, short metatarsal bones, small cerebellum, small cerebellum, small cerebellum, syndactyly, thin apical ectodermal ridge, thin cerebellar granule layer","11456442, 12399319",129S1/Sv|129X1/SvJ|CD
Gas1<tm2Fan>/Gas1<tm2Fan>,involves: 129 * C57BL/6J,hm,FALSE,"abnormal digit morphology, abnormal floor plate morphology, oligodactyly, short limbs",17504940,129|C57BL/6J
Gas1<tm2Fan>/Gas1<tm2Fan>,involves: C57BL/6J,hm,FALSE,"abnormal floor plate morphology, abnormal medial nasal prominence morphology, abnormal tympanic ring morphology, abnormal vertebral body morphology, decreased neuronal precursor cell number, hindlimb oligodactyly, short maxilla, small parietal bone, syndactyly",17504941,C57BL/6J
Gdf1<tm1Sjl>/Gdf1<tm1Sjl>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,hm,FALSE,"abnormal kidney morphology, abnormal left-right axis patterning, abnormal liver morphology, abnormal spleen morphology, abnormal vena cava morphology, annular pancreas, atrial septal defect, complete atrioventricular septal defect, dextrocardia, lethality throughout fetal growth and development, incomplete penetrance, neonatal lethality, complete penetrance, right pulmonary isomerism, situs inversus, transposition of great arteries, ventricular septal defect",10700179,129S1/Sv|129X1/SvJ|C57BL/6
Hhat<tm1Ptch>/Hhat<tm1Ptch>,involves: 129P2/OlaHsd * FVB/N * various,hm,TRUE,"abnormal ventral interneuron 2 morphology, abnormal ventral interneuron 3 morphology, absent floor plate, chondrodystrophy, decreased embryo size, decreased motor neuron number, disproportionate dwarf, holoprosencephaly, neonatal lethality, complete penetrance, oligodactyly, oligodactyly, oligodactyly",15075292,129P2/OlaHsd|FVB/N|various
Hhat<tm2Ptch>/Hhat<tm2Ptch>,involves: 129P2/OlaHsd * FVB/N * various,hm,TRUE,"abnormal ventral interneuron 2 morphology, abnormal ventral interneuron 3 morphology, absent floor plate, chondrodystrophy, decreased embryo size, decreased motor neuron number, disproportionate dwarf, holoprosencephaly, neonatal lethality, complete penetrance, oligodactyly, oligodactyly, oligodactyly",15075292,129P2/OlaHsd|FVB/N|various
